texto;activacion;valencia;cuadrante
tengo ganas de saltar y gritar de alegría;alta;positiva;alta_positiva
siento un nudo en el pecho y no puedo dejar de mover la pierna;alta;negativa;alta_negativa
siento el cuerpo pesado y no tengo ganas de salir de la cama;baja;negativa;baja_negativa
estoy respirando profundo y mis músculos están sueltos;baja;positiva;baja_positiva
estoy súper motivado y con ganas de empezar el proyecto ya;alta;positiva;alta_positiva
tengo los puños apretados y la mandí­bula tensa de la rabia;alta;negativa;alta_negativa
siento un vacío en el estómago y ganas de llorar;baja;negativa;baja_negativa
estoy mirando por la ventana disfrutando el silencio;baja;positiva;baja_positiva
siento que el corazón me late a mil por hora del susto;alta;negativa;alta_negativa
estoy flotando de paz,  muy tranquilo y relajado;baja;positiva;baja_positiva
