text,activation,valence,quadrant
la verdad es que me siento muy feliz,alta,positiva,alta_positiva
siento un gran entusiasmo hoy,alta,positiva,alta_positiva
estoy listo para abrazar a todos de alegría,alta,positiva,alta_positiva
la verdad es que estoy a tope,alta,positiva,alta_positiva
estoy listo para bailar de felicidad,alta,positiva,alta_positiva
estoy listo para gritar de entusiasmo,alta,positiva,alta_positiva
tengo ganas de eufórico de felicidad,alta,positiva,alta_positiva
me muero por muy emocionado con todo el gozo,alta,positiva,alta_positiva
estoy listo para muy alegre con todo el gozo,alta,positiva,alta_positiva
sinceramente siento mariposas en el estómago,alta,positiva,alta_positiva
siento que voy a muy emocionado de emoción,alta,positiva,alta_positiva
tengo ganas de eufórico de emoción,alta,positiva,alta_positiva
estoy listo para reír a carcajadas de entusiasmo,alta,positiva,alta_positiva
me muero por muy entusiasmado de alegría,alta,positiva,alta_positiva
tengo las pilas puestas absolutamente,alta,positiva,alta_positiva
estoy listo para correr con todo el gozo,alta,positiva,alta_positiva
siento una energía desbordante porque sí,alta,positiva,alta_positiva
la verdad es que estoy súper motivado,alta,positiva,alta_positiva
me muero por muy emocionado de alegría,alta,positiva,alta_positiva
me siento muy feliz porque sí,alta,positiva,alta_positiva
tengo ganas de gritar con todo el gozo,alta,positiva,alta_positiva
siento que voy a abrazar a todos con todo el gozo,alta,positiva,alta_positiva
me tiemblan las manos de la emoción hoy,alta,positiva,alta_positiva
sinceramente me siento muy feliz,alta,positiva,alta_positiva
estoy abrazar a todos de entusiasmo,alta,positiva,alta_positiva
tengo ganas de gritar de emoción,alta,positiva,alta_positiva
siento que voy a saltar con todo el gozo,alta,positiva,alta_positiva
me muero por saltar de entusiasmo,alta,positiva,alta_positiva
quiero abrazar a todos con todo el gozo,alta,positiva,alta_positiva
me muero por muy emocionado de emoción,alta,positiva,alta_positiva
estoy que salto en una pata de lo feliz que estoy absolutamente,alta,positiva,alta_positiva
la verdad es que estoy radiante y alegre,alta,positiva,alta_positiva
siento que voy a bailar de alegría,alta,positiva,alta_positiva
estoy gritar de emoción,alta,positiva,alta_positiva
quiero muy alegre de entusiasmo,alta,positiva,alta_positiva
estoy correr de emoción,alta,positiva,alta_positiva
tengo ganas de correr de alegría,alta,positiva,alta_positiva
estoy listo para eufórico de felicidad,alta,positiva,alta_positiva
me muero por saltar de emoción,alta,positiva,alta_positiva
estoy súper feliz de felicidad,alta,positiva,alta_positiva
siento que voy a saltar de felicidad,alta,positiva,alta_positiva
me muero por muy entusiasmado de entusiasmo,alta,positiva,alta_positiva
estoy súper motivado completamente,alta,positiva,alta_positiva
me muero por abrazar a todos de entusiasmo,alta,positiva,alta_positiva
tengo ganas de abrazar a todos de alegría,alta,positiva,alta_positiva
estoy reír a carcajadas de emoción,alta,positiva,alta_positiva
estoy reír a carcajadas de felicidad,alta,positiva,alta_positiva
siento que voy a celebrar de emoción,alta,positiva,alta_positiva
me muero por abrazar a todos de alegría,alta,positiva,alta_positiva
la verdad es que siento una energía desbordante,alta,positiva,alta_positiva
estoy listo para muy entusiasmado de felicidad,alta,positiva,alta_positiva
estoy listo para saltar de emoción,alta,positiva,alta_positiva
tengo ganas de eufórico de alegría,alta,positiva,alta_positiva
últimamente estoy feliz de verte,alta,positiva,alta_positiva
estoy listo para bailar de alegría,alta,positiva,alta_positiva
me muero por gritar con todo el gozo,alta,positiva,alta_positiva
quiero reír a carcajadas con todo el gozo,alta,positiva,alta_positiva
estoy que salto en una pata de lo feliz que estoy de verdad,alta,positiva,alta_positiva
estoy muy entusiasmado de alegría,alta,positiva,alta_positiva
siento que voy a muy emocionado de entusiasmo,alta,positiva,alta_positiva
me muero por bailar de alegría,alta,positiva,alta_positiva
estoy muy alegre de entusiasmo,alta,positiva,alta_positiva
